Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Offshore wind energy cable landing,New England Wind 1,Barnstable,Massachusetts,Formal agreement,Not yet built,Avangrid,0,0.0,,"- Through a host community agreement with the town of Barnstable, signed in 2022 and updated in 2024, Avangrid will provide more than $24 million to the town of Barnstable. This includes a $16 million payment within sixty days of the project's financial close, $5.5 million for post-construction streetscaping, $2.4 million for sewer construction, and $500,000 for the Barnstable High School Environmental Science and Technology Lab. The agreement also includes reimbursement for any business disruptions during cable construction. The original agreement signed in 2022 included only the $16 million payment, which was to be paid over 20 years rather than at one time; the additional provisions and new payment schedule were added in 2024 through a side agreement with the town.",https://www.avangrid.com/w/avangrid-town-of-barnstable-reaffirm-host-community-agreement-for-new-england-wind-1-project,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy port,Salem Offshore Wind Terminal,Salem,Massachusetts,Formal agreement,2024-,Crowley Wind Services / Massachusetts Clean Energy Center / City of Salem,0,0.0,Fund,"- In 2024, the city of Salem and Crowley Wind Services signed a community benefit agreement worth nearly $9 million. The agremeent has commitments in the areas of workforce and economic development, sustainability, housing and infrastructure, impacts to city services, Salem Public Schools and education, and other CBA commitments. This includes over $400,000 for scholarships, $187,500 for bilingual outreach to support local access to the offshore wind industry, $3.5 million for Salem Public Schools programs, funding for Indigenous history and cultural education, establishment of a $500,000 Climate Adaptation Fund, a commitment to port electrification by 2040, a commitment to local and diverse hiring, rental assistance for port workers, funding for Salem municipal projects and services, funding for monitoring and compliance of the CBA, reimbursement for legal and consultant expenses incurred by the city, and many other provisions.",https://www.salemma.gov/mayors-office/news/city-salem-and-crowley-wind-services-announce-historic-community-benefits,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy project,Vineyard Wind 1,Federal waters,Massachusetts,Formal agreement,Under construction as of 2024,Vineyard Wind,62,800.0,Fund,"- Vineyard Wind and Vineyard Power (an electric cooperative on the island of Martha's Vineyard) signed a community benefit agreement in 2015, which includes provisions related to job creation and community engagement. 

- In 2019, Vineyard Wind partnered with Citizens Energy Corporation and Vineyard Power to establish the Resiliency and Affordability Fund. The fund will provide $1 million annually for 15 years in funding to support battery storage, solar projects, and credits to low-income ratepayers' electricity bills on Martha’s Vineyard and the Cape. 

Funding for energy storage and solar projects for public buildings in communities on the island and on the mainland.
Ratepayer relief in communities hosting the Vineyard Wind project in the form of bill-credits for low-income residents.
The agreement also requires developers employ a fisheries liaison during project lifetime.","https://static1.squarespace.com/static/57797a98414fb50acf42515d/t/579b845229687f6efd779504/1469809746655/Community+Benefits+Agreement+Summary.pdf, https://www.vineyardwind.com/news-and-updates/2018/3/29/citizens-vineyard-wind-collaborate-on-resiliency-and-affordability-fund-to-benefit-residents-and-communities-on-cape-cod-islands-and-south-coast",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Offshore wind energy cable landing,Vineyard Wind 1,Barnstable,Massachusetts,Formal agreement,2023,Vineyard Wind,0,0.0,,"- Through a host community agreement with Vineyard Wind, signed in 2018, the town of Barnstable will receive at least $16 million in host community payments. This includes annual payments, plus an additional $60,000 annually (adjusted for inflation) if the project's lifetime extends beyond that period; the agreement also accounts for several contingencies based on cable route, as a cable route had not been selected at the time that it was signed. This agreement is in addition to property tax revenues. ","https://vineyardwind.app.box.com/s/efzup1n6isjrifyflojehy8a9f70e5am, https://www.vineyardwind.com/press-releases/2018/11/27/vineyard-wind-and-barnstable-enter-into-host-community-agreement-advancing-usas-first-commercial-scale-offshore-wind-farm",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Offshore wind energy project,Vineyard Wind 1,N/A,Massachusetts,Formal agreement,Under construction as of 2024,Vineyard Offshore,62,800.0,,"- Vineyard Offshore signed a tribal benefit agreement with the Mashpee Wampanoag Tribe in 2024, which includes creation of the Mashpee Wampanoag Tribe Offshore Wind Community Fund. The fund will support scholarships, wastewater projects, language reclamation, workforce training, and tribal capacity for offshore wind engagement. The tribal benefit agreement includes a commitment to tribal sovereignty and self-determination, establishment of a full scholarship program with Bristol Community College, connecting Tribal Nations with external organizations to support solar projects, local job creation, and stewardship of land and ocean resources.","https://mashpeewampanoagtribe-nsn.gov/news/2024/3/21/mashpee-wampanoag-tribe-and-vineyard-offshore-forge-historic-tribal-benefit-agreement#:~:text=The%20Tribal%20Benefit%20Agreement%20establishes,Tribe%20Offshore%20Wind%20Community%20Fund.",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Offshore wind energy project,Vineyard Wind 1,Federal waters,Massachusetts,Formal agreement,Under construction as of 2024,Vineyard Wind,62,800.0,Fund,"- In 2020, Vineyard Wind signed a Good Neighbor Agreement with the town and county of Nantucket, MA, the Maria Mitchell Association, and the Nantucket Preservation Trust. The agreement establishes the Nantucket Offshore Wind Community Fund, managed by the Community Foundation for Nantucket, which will support projects and initiatives related to restoring and preserving cultural and historic resources, coastal resiliency, climate adaptation, and renewable energy. Vineyard Wind contributed $4 million to the fund at financial close of Vineyard Wind 1 and will contribute $3 million at financial close of future Vineyard Wind projects. In 2024, the fund awarded its first round of grants, totaling nearly $800,000; funds went to a variety of recipients, including municipal infrastructure projects, historic preservation activities, and energy and resilience upgrades for nonprofits and other local institutions.","https://climate.law.columbia.edu/sites/default/files/content/CBAs/06.%20Nantucket%20GNA.pdf, https://nantucketcurrent.com/news/community-foundation-announces-first-offshore-wind-fund-grants",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Apple Blossom,Huron County,Michigan,Fund,2017,Geronimo Energy / Huron Wind / Sempra Renewables / AEP,29,100.0,Donation/support to local cause,"- The Apple Blossom Community Fund was established to engage in and support charitable activities in the communities connected to the wind project. The fund receives up to $20,000 annually and decision-making for the fund is made by a board of directors made up of landowners hosting turbines and community members in the impacted area.

- Sempra Renewables makes an annual gift to the Pigeon Community Fund of the Huron County Community Foundation, including a $15,000 gift in 2019 that was put toward community projects (e.g., upgrades to an events center, public ice rink) in the Village of Pigeon.

- The American Electric Power Foundation, on behalf of AEP Renewables, donated $10,000 in emergency funds to the Huron County Community Foundation to assist with COVID-19 response.

- In 2019, Sempra Renewables donated $2,000 and equipment to the Laker Secondary School to assist with creation of an innovation center.","http://www.huroncountycommunityfoundation.org/hccf-news/sempra2019, https://huroncountyview.mihomepaper.com/articles/community-foundation-awarded-emergency-funds/,  https://lakerschools.org/2018/12/14/local-companies-make-donations-to-upcoming-laker-innovation-center/, https://pigeonmichigan.com/latest-news-updates/2020/august-newsletter-2020, https://www.geronimoenergy.com/wp-content/themes/geronimo/pdf/Project%20Community%20Fund%20Sheets/Wind/Apple%20Blossom%20Community%20Fund%20-%20email.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Deerfield II,Huron County,Michigan,Donation/support to local cause,2023,Liberty Power / Algonquin Power,21,101.6,,- Liberty Power donated to the Caseville Cheeseburger Festival.,https://deerfieldwindenergy2.com,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Isabella I & II,Isabella County,Michigan,Donation/support to local cause,2021,Apex Clean Energy / DTE Energy,136,383.5,,"- Isabella Wind supported several local food pantries (Trinity Church Food Pantry, Bread of Life Pantry, Community Compassion Network, and REAP Food Pantry) during the COVID-19 pandemic and provided meals to healthcare workers at local hospitals in Montcalm and Isabella.

- Apex provided $5,000 to Beal City Public Schools to fund the school robotics team.","https://www.apexcleanenergy.com/insight/taking-care-of-our-communities-in-an-unprecedented-time/, https://www.secondwavemedia.com/epicenter/features/wind-parks-bring-clean-energy-to-Isabella-County.aspx, https://www.apexcleanenergy.com/company/sustainability/apex-community-grant-program/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Meridian Wind Park,"Midland County, Saginaw County",Michigan,Donation/support to local cause,2021,DTE Energy,77,225.0,,"- DTE Energy has supported local programs and events, including the Future Farmers of America, CAN Council, FIRST Robotics, and Girl Scouts. They provided immediate support for Midland's flood relief through a donation to the Red Cross and donated Chromebooks to the Merrill School District for online learning during the coronavirus pandemic.","https://empoweringmichigan.com/meridianwind/, https://www.ourmidland.com/news/article/Wind-park-woes-Midland-County-resident-raises-16710990.php#photo-21838460",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
